Domains,Malicious
calendar.yahoo.com,0
calligraphr.com,0
calnetweb.berkeley.edu,0
calorieking.com,0
calpoly.zoom.us,0
cam-candy.bandai.co.jp,0
cam.ac.uk,0
cambridge.org,0
cambridgeinternational.org,0
camelcamelcamel.com,0
camera.developer.sony.com,0
cameron.blogs.foxnews.com,0
campaign.maybelline.co.uk,0
campaigns.sonymobile.com,0
campuslife.asus.com,0
canada.ca,0
canalblog.com,0
candy-tes.bandai.co.jp,0
canon.com,0
canva.com,0
capcom-arcade-stadium.com,0
capcom-central.com,0
capcom-europe.com,0
capcom-fc.com,0
capcom-netcatcher.com,0
capcom-onlinegames.jp,0
capcom-unity.com,0
capcom.co.jp,0
capcom.com,0
capcombar-event.paselabo.tv,0
capcombar-menu.paselabo.tv,0
capcomdigital.com,0
capcoment.com,0
capcomespace.net,0
capcomfcu.org,0
capcomhomearcade.com,0
capcommobile.com,0
capcomprotour.com,0
capcomvancouver.com,0
capstonekids.com,0
captcha-discord.com,1
card.yahoo.com,0
cards-dev.twitter.com,0
cards.yahoo.com,0
career.loreal.com,0
career.nexon.com,0
careerpaths.loreal.com,0
careers.activision.com,0
careers.blizzard.com,0
careers.canva.com,0
careers.ea.com,0
careers.foxnews.com,0
careers.its.ac.id,0
careers.loreal.com,0
careers.microsoft.com,0
careers.pinterest.com,0
careers.twitter.com,0
careers.unilever.com,0
careers.walmart.com,0
careers.yahoo.com,0
careers2.loreal.com,0
carnegiecyberacademy.com,0
carrefour.com,0
cars.disney.com,0
cartier.sg,0
cartoonnetwork.co.uk,0
casone.blogs.foxbusiness.com,0
catalog.bandai.co.jp,0
catalog.dell.com,0
catalog.mit.edu,0
catalog.netflix.com,0
catalog.update.microsoft.com,0
cave-nitro.com,1
cbc.ca,0
cbc.ca/kids,0
cbeebies.com,0
cbsnews.com,0
cdc.gov,0
cdc.koggames.com,0
cddis.nasa.gov,0
cdn-client.medium.com,0
cdn.discordapp.com,0
cdndiscord.com,1
ce.berkeley.edu,0
ceas.yale.edu,0
cee.mit.edu,0
celine.com,0
centerforgamescience.org/games,0
centos.org,0
cert.eccouncil.org,0
certificate-hypesquad.com,1
certification.w3schools.com,0
certificationexams-academymod.com,1
certified-exam-academy-mod.com,1
certified-moderating-school.com,1
certified-moderating.com,1
certified-moderatingexam.com,1
certified-moderation.app,1
certified-moderator-academy.com,1
certifiedget-moderating.com,1
certifiedmoderating-exam.com,1
certifieds-employee-exam.school,1
certview.oracle.com,0
cforigin.cisx.sonymusic.co.jp,0
cforigin.pmsx.sonymusic.co.jp,0
cforigin.wpj.sonymusic.co.jp,0
cgnitro.com,1
cgsc.biology.yale.edu,0
ch.netmarble.com,0
ch16-live.btg.blizzard.com,0
ch5.sega.jp,0
challenge.foxsports.com,0
chanel.com,0
change.org,0
channel.asus.com,0
channel.dell.com,0
channel.nationalgeographic.com,0
channelpartners.adobe.com,0
chapiapp.com,0
characters.disney.com,0
chardvard.co,0
chardvard.me,0
chardvard.us,0
charitynavigator.org,0
charts.youtube.com,0
chat.eu.lol.riotgames.com,0
chat.whatsapp.com,0
chat.yahoo.com,0
